solver_node,sumo_node_id
1449,416203321
1450,416204116
1451,416204338
1452,416204578
1453,416206834
1454,416208011
1455,416208085
1456,416208856
1457,416208981
1458,416210474
1459,416210563
1460,416211832
1461,416214406
1462,416215049
1463,416215119
1464,416215978
1465,416217136
1466,416217235
1467,416218154
1468,416218655
1469,416219191
1470,416219358
1471,416219720
1472,416219955
1473,416222177
1474,416223313
1475,416224607
1476,416225216
1477,416226879
1478,416231955
1479,416232528
1480,416232926
1481,416235300
1482,416235919
1483,416236167
1484,416237495
1485,416239624
1486,416239712
1487,416240094
1488,416243489
1489,416243573
1490,416244990
1491,416245143
1492,416246025
1493,416246717
1494,416247353
1495,416250744
1496,416256692
1497,416257066
1498,416257325
1499,416257424
1500,416259148
1501,416259404
1502,416260625
1503,416261016
1504,416261099
1505,416262616
1506,416264089
1507,416265573
1508,416265977
1509,416266906
1510,416267212
1511,416268326
1512,416268383
1513,416269081
1514,416269424
1515,416269476
1516,416269655
1517,416270941
1518,416271216
1519,416272373
1520,416276102
1521,416277132
1522,416277147
1523,416277599
1524,416279122
1525,416279646
1526,416280816
1527,416281449
1528,416285286
1529,416285961
1530,416286375
1531,416287016
1532,416287733
1533,416288983
1534,416289811
1535,416289981
1536,416291637
1537,416294155
1538,416294572
1539,416294844
1540,416294905
1541,416295135
1542,416295938
1543,416297011
1544,416297051
1545,416297115
1546,416299177
1547,416299449
1548,416299582
1549,416299634
1550,416300591
1551,416301252
1552,416302362
1553,416303252
1554,416304448
1555,416305403
1556,416305687
1557,416305910
1558,416306360
1559,416307389
1560,418988931
1561,418988932
1562,418988934
1563,418988937
1564,418988939
1565,418988940
1566,418988941
1567,418988942
1568,418988943
1569,418988944
1570,418988945
1571,418988946
1572,418988947
1573,418988948
1574,418988949
1575,418988956
1576,418988957
1577,418988958
1578,418988959
1579,418988960
1580,418988962
