node_id,x,y
295144606,1080.37,2193.27
295144616,981.93,2112.0
295144647,756.84,2030.65
295144682,1047.65,1752.77
295144774,2095.09,2966.74
295144792,2128.08,3100.97
295144805,2156.49,3115.99
295144808,1768.83,2984.17
295144812,1653.09,3269.99
295144816,1794.06,3347.12
295144826,1688.8,3290.94
295144827,1612.21,3247.08
295144828,1597.13,3275.33
295144843,1582.84,3290.55
295144850,4375.91,3347.64
295144861,4046.28,3825.01
295144863,5550.5,1924.29
295144913,6311.66,1911.97
295144916,5586.1,2169.41
295175057,1425.46,5107.83
295175063,1366.71,5041.62
295175064,1341.76,4983.97
295175071,1245.54,4984.6
295175077,1061.39,5083.2
295175079,1024.26,5118.33
295175094,951.19,5274.92
295175169,1423.53,4906.73
295175184,1432.46,4881.55
295175192,1216.33,4867.2
295406624,3183.19,2556.32
295406626,3248.04,2584.64
295406642,3349.98,2587.16
295406648,3476.83,2583.38
295406662,3890.49,2753.26
295406663,4980.95,3645.09
295406694,5287.32,3594.16
295406696,6559.85,3030.54
295406697,6631.16,3129.29
295406701,5043.65,2497.1
295406702,4980.04,2574.16
295406705,4913.95,2649.52
295406714,4722.8,2557.0
295406719,4455.69,2424.51
295406720,4413.54,2477.91
295406722,3943.11,2259.74
295699007,4935.2,4503.06
295699025,5731.41,3951.42
295699026,5772.16,3862.12
295699028,5812.47,3774.75
295699950,6442.75,3380.71
295699952,6373.1,3406.92
295699964,5873.02,4017.83
295699979,5546.9,4195.47
295700158,5182.21,3907.93
295700159,5218.1,3987.77
295701305,5341.35,3877.09
295701309,5287.85,3758.76
295701315,5426.22,3810.6
295701329,5197.04,3939.2
295704951,6714.65,3775.55
295704964,6928.51,3650.47
295704979,6986.51,3750.46
295704980,6905.64,3988.67
295704998,7053.05,3862.35
296018207,4200.39,4019.43
296180936,2279.68,4525.25
296180940,1905.66,4584.58
296180964,1939.95,4685.84
296180970,1922.35,4681.05
296180981,2118.29,4764.82
296266991,1912.52,4214.28
296266992,1861.56,4264.1
296267003,1808.46,4247.82
296267014,2025.82,4331.62
296267023,1936.7,4345.07
296267037,1936.65,4323.26
296267066,1778.66,4941.89
296267076,1793.14,4949.2
296267126,1882.69,4439.51
296267145,1749.52,4046.8
296267149,1687.76,4105.75
296267159,1666.21,4109.2
296501314,2038.05,3810.91
296501324,2098.29,3858.03
296501357,1955.27,4162.09
296501365,2080.85,4006.29
296501371,2164.45,4073.38
296501392,2172.58,4098.45
296501518,2163.97,3896.96
296501590,2150.99,3886.43
297024074,7171.23,4046.53
297024077,6765.27,3363.49
297024081,6696.47,3244.22
297024084,6441.94,3771.28
297024108,6852.05,3516.23
297024109,6602.34,3662.79
297024110,6632.63,3726.22
297024112,6555.16,3690.35
297024118,6413.47,3565.4
297322540,2396.74,3579.56
297322733,2335.58,3520.03
297322735,2278.47,3458.48
297322748,2074.49,3532.25
297322754,1992.69,3551.15
297322762,1998.29,3465.29
297322764,1998.44,3459.92
297322803,2234.21,3504.56
297322808,2212.56,3505.09
297322814,1924.11,3637.87
297322824,1699.71,3197.3
297322828,1763.46,3231.98
297322842,1780.44,3235.33
297322888,1749.97,3114.94
297322900,2141.58,2698.24
297322935,2095.43,2699.64
297322943,2087.67,2688.87
297322950,1973.95,2594.32
297322980,1990.34,2733.28
297323012,2006.8,2625.36
297323020,2021.41,2632.78
297323175,2016.97,3107.97
297323178,1955.71,3150.87
297323185,1940.43,3169.21
297323209,2044.51,3212.44
297323215,2129.52,3223.67
297323232,2154.08,3246.19
297323240,1980.15,3331.79
297323244,2070.52,3358.29
297323250,2102.88,3356.67
297323261,1902.72,3267.62
297323267,1877.13,3254.41
297338222,1073.39,3046.27
297338245,985.82,3088.36
297338265,966.35,3098.29
297338288,1310.6,3214.93
297794499,2688.59,6215.4
297794517,2910.83,6037.95
297794521,3087.0,6130.79
297794591,3258.65,5810.47
298025682,1582.63,5082.6
298025687,1516.24,4952.4
298025694,1533.41,4939.43
298025699,1625.46,5003.34
298025704,1637.23,4985.23
298505224,5953.73,3175.98
298509028,5779.45,3255.78
298509039,6477.08,2925.52
298509040,6528.32,3184.92
298510750,6883.61,2530.56
298510752,6740.82,2646.26
298510754,6649.36,2718.86
298510756,6444.51,2881.91
298511021,6779.14,2370.07
298511554,6823.4,2750.81
298511555,6621.06,2493.52
298513376,6528.53,2564.6
298513378,6439.39,2633.6
298513389,6526.09,2988.46
298584825,6141.4,3501.04
298584827,6114.57,3553.06
298584836,6281.57,3300.72
298584837,6334.8,3412.96
298584852,6067.59,3452.86
298584871,6382.92,3257.14
298584872,6511.08,3507.95
298584875,6874.41,3302.72
298584876,6808.84,3186.61
298584878,6948.0,3117.91
298584879,7005.47,3220.83
298584885,6591.15,3300.82
298584886,6658.47,3422.89
298584892,7083.46,3034.16
298584893,6914.78,3055.31
298584894,7045.16,2975.2
298584896,7168.43,2980.97
